date_collected	species	sex	weight	plot	comments
19780108	DM	F	37	4	
19780108	DM	M		4	scale not calibrated
19780108	DM	F	48	4	
19780108	DO	M	52	4	
19780108	OL	M	35	4	
20130819	DO	F	52	8	
20131017	DO	F	33	3	
20131017	DO	F	50	3	
20131112	DS	F	117	9	
20131113	DS	F	126	11	
20131113	DS	M	132	17	scale not calibrated
20131113	DS	F	113	14	scale not calibrated
20131113	DS	F	122	11	
20131113	DS	F	107	4	
20131113	DS	F	115	4	
20131210	DO	F	40	9	
20131210	DO	M	45	1	
20131211	DO	F	41	8	
20131607	DM	F		2	
20131607	DM	M	33	7	
20131607	DM	M		3	
20131607	DM	M		1	
20131807	DM	M	40	3	
20131807	DM	M	48	7	
20131807	DM	F	29	4	
20131807	DM	F	37	6	
20140108	NA			2	"unknown sex, scale not calibrated"
20140108	DM	M	44	2	
20140108	PF	F	7	2	
20140108	DM	M	45	2	
20140108	OT			2	"unknown sex, scale not calibrated"
20140108	DS	M	157	2	
20140108	OX			2	"unknown sex, scale not calibrated"
20140109	DM	M	40	1	
20140109	DM	F	36	1	
20140218	NA	M	218	2	
20140218	PF	F	7	2	
20140218	DM	M	52	2	
20140311	PF	M	8	3	
20140313	DM	F	51	1	
20140313	DM	F	44	1	
20140313	DS	F	146	1	
20140408	NA	F		3	scale not calibrated
20140506				3	"unknown sex, unknown species, scale not calibrated"
20140518	NA	F	182	3	
20140609	OT	F	29	3	
20140708	NA	F	115	3	
20140708	NA	M	190	3	
